ID,Word,Pronunciation,Position,Additional_Info_1,POS_Tag,Additional_Info_2,Additional_Info_3,Additional_Info_4,Additional_Info_5
VN00000904,đâu,dau,4,dau,ADV,-,-,O,-
VN00000905,?,?,5,-,PUNCT,-,-,O,-
VN00001001,tôi,tooi,1,tooi,PRON,-,-,O,-
VN00001002,đến,den5,2,den5,VERB,-,-,O,-
VN00001003,từ,tu2,3,tu2,ADP,-,-,O,-
VN00001004,Việt,Viet5,4,Viet5,PROPN,-,LOC,-
VN00001005,Nam,naam,5,naam,PROPN,-,LOC,-
VN00001006,.,.,6,-,PUNCT,-,-,O,-
VN00001101,bạn,ban5,1,ban5,PRON,-,-,O,-
VN00001102,bao,bao,2,bao,ADV,-,-,O,-
VN00001103,nhiêu,nhieu,3,nhieu,ADV,-,-,O,-
VN00001104,tuổi,tuoi5,4,tuoi5,NOUN,-,-,O,-
VN00001105,?,?,5,-,PUNCT,-,-,O,-
VN00001201,tôi,tooi,1,tooi,PRON,-,-,O,-
VN00001202,hai,hai,2,hai,NUM,-,CARD,-
VN00001203,mươi,mwui,3,mwui,NUM,-,CARD,-
VN00001204,tuổi,tuoi5,4,tuoi5,NOUN,-,-,O,-
VN00001205,.,.,5,-,PUNCT,-,-,O,-
VN00001301,bạn,ban5,1,ban5,PRON,-,-,O,-
VN00001302,làm,laam,2,laam,VERB,-,-,O,-
VN00001303,nghề,nghe2,3,nghe2,NOUN,-,-,O,-
VN00001304,gì,zi,4,zi,PRON,-,-,O,-
VN00001305,?,?,5,-,PUNCT,-,-,O,-
VN00001401,tôi,tooi,1,tooi,PRON,-,-,O,-
VN00001402,là,laa,2,laa,VERB,-,-,O,-
VN00001403,sinh,sinh,3,sinh,NOUN,-,-,O,-
VN00001404,viên,vien,4,vien,NOUN,-,-,O,-
VN00001405,.,.,5,-,PUNCT,-,-,O,-
VN00001501,bạn,ban5,1,ban5,PRON,-,-,O,-
VN00001502,có,ko1,2,ko1,VERB,-,-,O,-
VN00001503,thích,thik5,3,thik5,VERB,-,-,O,-
VN00001504,âm,am,4,am,NOUN,-,-,O,-
VN00001505,nhạc,nhak5,5,nhak5,NOUN,-,-,O,-
VN00001506,không,khoong,6,khoong,ADV,-,-,O,-
VN00001507,?,?,7,-,PUNCT,-,-,O,-
VN00001601,có,ko1,1,ko1,VERB,-,-,O,-
VN00001602,tôi,tooi,2,tooi,PRON,-,-,O,-
VN00001603,thích,thik5,3,thik5,VERB,-,-,O,-
VN00001604,!,!,4,-,PUNCT,-,-,O,-
VN00001701,bạn,ban5,1,ban5,PRON,-,-,O,-
VN00001702,thích,thik5,2,thik5,VERB,-,-,O,-
VN00001703,loại,loai5,3,loai5,NOUN,-,-,O,-
VN00001704,nhạc,nhak5,4,nhak5,NOUN,-,-,O,-
VN00001705,nào,nao,5,nao,PRON,-,-,O,-
VN00001706,?,?,6,-,PUNCT,-,-,O,-
VN00001801,tôi,tooi,1,tooi,PRON,-,-,O,-
VN00001802,thích,thik5,2,thik5,VERB,-,-,O,-
VN00001803,nhạc,nhak5,3,nhak5,NOUN,-,-,O,-
VN00001804,trẻ,tre5,4,tre5,ADJ,-,-,O,-
VN00001805,.,.,5,-,PUNCT,-,-,O,-
VN00001901,thật,thaat5,1,thaat5,ADV,-,-,O,-
VN00001902,tuyệt,twiet5,2,twiet5,ADJ,-,-,O,-
VN00001903,!,!,3,-,PUNCT,-,-,O,-
VN00002001,hẹn,hen5,1,hen5,VERB,-,-,O,-
VN00002002,gặp,gap5,2,gap5,VERB,-,-,O,-
VN00002003,lại,laai5,3,laai5,ADV,-,-,O,-
VN00002004,!,!,4,-,PUNCT,-,-,O,-
