ID,Word,Pronunciation,Position,Additional_Info_1,POS_Tag,Additional_Info_2,Additional_Info_3,Additional_Info_4,Additional_Info_5
VD00001102,đến,ddeen1,2,ddeen1,Vd,-,-,O,-
VD00001103,.,.,3,-,PU,-,-,O,-
VD00001201,cha,cha,1,cha,Nn,-,-,O,-
VD00001202,',',2,-,PU,-,-,O,-
VD00001203,mẹ,me5,3,me5,Nn,-,-,O,-
VD00001204,đến,ddeen1,4,ddeen1,Vd,-,-,O,-
VD00001205,không,khoong,5,khoong,R,-,-,O,-
VD00001206,?,?,6,-,PU,-,-,O,-
VD00001301,họ,ho5,1,ho5,Pp,-,-,O,-
VD00001302,đều,ddeeu2,2,ddeeu2,R,-,-,O,-
VD00001303,đến,ddeen1,3,ddeen1,Vd,-,-,O,-
VD00001304,.,.,4,-,PU,-,-,O,-
VD00001401,chào,chao2,2,chao2,Vv,-,-,O,-
VD00001402,bạn,ban5,1,ban5,Pp,-,-,O,-
VD00001403,!,!,3,-,PU,-,-,O,-
VD00001501,sức_khoẻ,suwc1_khoe3,2,suwc1_khoe3,Nn,-,-,O,-
VD00001502,của,cua3,2,cua3,Cm,-,-,O,-
VD00001503,bạn,ban5,1,ban5,Pp,-,-,O,-
VD00001504,có,co1,0,co1,R,-,-,O,-
VD00001505,tốt,toot1,3,toot1,Aa,-,-,O,-
VD00001506,không,khoong,4,khoong,R,-,-,O,-
VD00001507,?,?,5,-,PU,-,-,O,-
VD00001601,cám_ơn,cam1_own,1,cam1_own,Vv,-,-,O,-
VD00001602,!,!,2,-,PU,-,-,O,-
VD00001701,tạm_biệt,tam5_bieet5,1,tam5_bieet5,Vv,-,-,O,-
VD00001702,!,!,2,-,PU,-,-,O,-
VD00001801,rất,raat1,1,raat1,R,-,-,O,-
VD00001802,tốt,toot1,2,toot1,Aa,-,-,O,-
VD00001803,.,.,3,-,PU,-,-,O,-
VD00001804,cám_ơn,cam1_own,4,cam1_own,Vv,-,-,O,-
VD00001805,.,.,5,-,PU,-,-,O,-
VD00001901,tạm_biệt,tam5_bieet5,1,tam5_bieet5,Vv,-,-,O,-
VD00001902,.,.,2,-,PU,-,-,O,-
VD00002001,hôm_nay,hoom_nay,1,hoom_nay,Nt,-,DTM_B,-
VD00002002,ngày,ngay2,3,ngay2,Nt,-,DTM_I,-
VD00002003,6,6,2,-,Nt,-,DTM_I,-
VD00002004,.,.,4,-,PU,-,-,O,-
VD00002005,thầy_giáo,thaay2_giao1,6,thaay2_giao1,Nn,-,DES_B,-
VD00002006,Lý,ly1,5,ly1,Nr,-,PER_B,-
VD00002007,có,co1,0,co1,Ve,-,-,O,-
VD00002008,đến,ddeen1,7,ddeen1,M,-,-,O,-
VD00002009,không,khoong,8,khoong,R,-,-,O,-
VD00002010,?,?,9,-,PU,-,-,O,-
VD00002101,ông,oong,1,oong,Nn,-,-,O,-
VD00002102,ấy,aay1,1,aay1,Pd,-,-,O,-
VD00002103,có,co1,0,co1,Ve,-,-,O,-
VD00002104,đến,ddeen1,2,ddeen1,M,-,-,O,-
VD00002105,.,.,3,-,PU,-,-,O,-
VD00002201,ngày,ngay2,1,ngay2,Nt,-,DTM_B,-
